SMK Order,Item Name,SMK ID or Item ID,Quantity,Overrun%,Qty with OR%,Cylinder,Around,Repeat,Across,Width,Length,Bottom Gusset (BM),Lip,Zip Header,Web Width (W.W.),lbs/m,Net (ft),Net (lbs),Net (kg),Incl OR (ft),Incl OR (lbs),Incl OR (kg),Film grade,Mil
5145,Generic Apples No-Wt. (MPC),15343,240000,0.22,292800,24.25,2,12.125,1,12,19.875,0,2,0,41.75,21.91204259,242500,5258.890221,2385.416956,295850,6415.846069,2910.208686,L/LDPE Bag Film - General,1.3
5146,Pacific Cauliflower,15213,1200000,0.18,1416000,30.25,2,15.125,2,14.75,8.5,6,1.5,0,24.5,11.10465987,756250,13325.59185,6044.448811,892375,15724.19838,7132.449597,"L/LDPE Bag Film - LC, clear",0.9
5147,Superfresh Apples 3lb (Mexico Export),15289,500000,0.2,600000,32,3,10.66666667,1,10.5,16.375,0,2,0,34.75,14.56353567,444444.4444,7281.767833,3302.988222,533333.3333,8738.1214,3963.585866,"L/LDPE Bag Film - General, clear",1.18
5148,Andy Boy Cauliflower USA,15008,4000000,0.15,4600000,30.25,2,15.125,2,14.75,8.5,6,1.5,0,24.5,11.10465987,2520833.333,44418.6395,20148.1627,2898958.333,51081.43542,23170.38711,L/LDPE Bag Film - LC,0.9
5149,Sage 3lb Apples,15019,1000000,0.18,1180000,32,3,10.66666667,1,10.5,16.375,0,2,0,34.75,14.56353567,888888.8889,14563.53567,6605.976443,1048888.889,17184.97209,7795.052203,"L/LDPE Bag Film - General, clear",1.18
5150,Superfresh Apples 3lb (Mexico Export),15289,500000,0.2,600000,32,3,10.66666667,1,10.5,16.375,0,2,0,34.75,14.56353567,444444.4444,7281.767833,3302.988222,533333.3333,8738.1214,3963.585866,"L/LDPE Bag Film - General, clear",1.18
5151,Spring Creek 16oz Celery Sticks,15422,150000,0.25,187500,19,3,6.333333333,1,6.25,11.5,0,0,1,25,7.907967902,79166.66667,1186.195185,538.0546064,98958.33333,1482.743982,672.568258,"L/LDPE Bag Film-Zip, clear",1.5
5152,Pacific 6ct Romaine Hts USA (Pink),15191,120000,0.25,150000,26.5,2,13.25,1,13,20,0,0,1.375,42.75,32.06285586,132500,3847.542703,1745.233921,165625,4809.428379,2181.542402,"L/LDPE Bag Film - Zipper*, clear",1.7
5153,Food Lion 3lb Gala,15384,80000,0.25,100000,32,3,10.66666667,1,10.5,16.25,0,2,0,34.5,14.45876203,71111.11111,1156.700962,524.6761146,88888.88889,1445.876203,655.8451433,"L/LDPE Bag Film - General, clear",1.18
5154,Food Lion 3lb Fuji,15425,80000,0.27,101600,21.5,2,10.75,1,10.5,16.25,0,2,0,34.5,14.57172111,71666.66667,1165.737689,528.7751468,91016.66667,1480.486864,671.5444364,"L/LDPE Bag Film - General, clear",1.18
5155,Food Lion 3lb Granny,15426,80000,0.27,101600,21.5,2,10.75,1,10.5,16.25,0,2,0,34.5,14.57172111,71666.66667,1165.737689,528.7751468,91016.66667,1480.486864,671.5444364,"L/LDPE Bag Film - General, clear",1.18
5156,"UPC/PLU Lettuce 13"" (Pacific)",15201,600000,0.2,720000,26.5,2,13.25,2,13,8.5,6,1.5,0,24.5,9.728049146,331250,5836.829488,2647.568488,397500,7004.195385,3177.082185,"L/LDPE Bag Film - LC, clear",0.9
5157,Generic Apples 3lb (MPC-Stock),14900,400000,0.2,480000,32,3,10.66666667,1,10.5,16.375,0,2,0,34.75,14.56353567,355555.5556,5825.414267,2642.390577,426666.6667,6990.49712,3170.868693,"Bag Film - General, clear",1.18
5158,Generic 3lb Apples (Chelan Fr),15347,500000,0.25,625000,30.5,3,10.16666667,1,10,16.5,0,1.75,0,34.75,13.88086993,423611.1111,6940.434966,3148.160649,529513.8889,8675.543707,3935.200811,"L/LDPE Bag Film - General, clear",1.18
5159,"Walmart 3lb Fuji (10"" - NuPlastiq)",15354,320000,0.2,384000,21,2,10.5,1,10,16.25,0,2,0,34.5,14.23284387,280000,4554.510039,2065.912201,336000,5465.412047,2479.094642,Bag Film-General-BioResin,1.18
5160,Walmart 3lb Honeycrisp (Biologiq),15352,240000,0.2,288000,30.5,3,10.16666667,1,10,16.25,0,2,0,34.5,13.78100756,203333.3333,3307.441814,1500.245765,244000,3968.930177,1800.294918,Bag Film-General-BioResin,1.18
5161,Pacific Romaine Hearts 3ct/22oz,15423,400000,0.25,500000,30.5,3,10.16666667,1,10,13.75,0,0,1.25,30,17.26434256,338888.8889,6905.737023,3132.421765,423611.1111,8632.171278,3915.527206,"L/LDPE Bag Film-Zip*, clear",1.7
5162,Generic 3lb Pears (Chelan Fr),15377,250000,0.25,312500,30.5,3,10.16666667,1,10,16.25,0,2,0,34.5,13.78100756,211805.5556,3445.25189,1562.756005,264756.9444,4306.564862,1953.445007,"L/LDPE Bag Film - General, clear",1.18
5163,Walmart 3lb Honeycrisp (Biologiq),15352,480000,0.2,576000,30.5,3,10.16666667,1,10,16.25,0,2,0,34.5,13.78100756,406666.6667,6614.883628,3000.49153,488000,7937.860354,3600.589837,Bag Film-General-BioResin,1.18
5164,Ready Set Serve Kale 40oz (Boskovich),15335,25000,0.35,33750,28.75,2,14.375,1,14.25,24,0,0.125,0,48.125,33.40010884,29947.91667,835.002721,378.7547496,40429.6875,1127.253673,511.318912,"Bag Film - General, clear",1.45
5165,"Walmart 3lb Gala (10"" - NuPlastiq)",15353,380000,0.2,456000,30.5,3,10.16666667,1,10,16.25,0,2,0,34.5,13.78100756,321944.4444,5236.782872,2375.389128,386333.3333,6284.139447,2850.466954,Bag Film-General-BioResin,1.18
5166,"Walmart 3lb Granny (10"" - NuPlastiq)",15356,160000,0.22,195200,30.5,3,10.16666667,1,10,16.25,0,2,0,34.5,13.78100756,135555.5556,2204.961209,1000.163843,165377.7778,2690.052675,1220.199889,Bag Film-General-BioResin,1.18
5167,"Walmart 3lb Golden Delicious (10"" - NuPlastiq)",15355,100000,0.22,122000,30.5,3,10.16666667,1,10,16.25,0,2,0,34.5,13.78100756,84722.22222,1378.100756,625.1024022,103361.1111,1681.282922,762.6249307,Bag Film-General-BioResin,1.18
5168,Superfresh Apples 3lb,15170,1000000,0.18,1180000,21.5,2,10.75,1,10.5,16.25,0,2,0,34.5,14.57172111,895833.3333,14571.72111,6609.689334,1057083.333,17194.63091,7799.433415,"L/LDPE Bag Film - General, clear",1.18
5169,Maristone Greenhouse Produce (small),14764,40000,0.3,52000,20.25,2,10.125,1,10,13,0,0,0.75,27.5,15.76078813,33750,630.4315253,285.961864,43875,819.5609829,371.7504232,"L/LDPE Bag Film - Zip, clear",1.7
5170,Maristone Greenhouse Produce (Large),14735,50000,0.3,65000,26.5,2,13.25,1,13,15,0,0,0.75,31.5,23.62526221,55208.33333,1181.263111,535.817432,71770.83333,1535.642044,696.5626616,"Bag Film - Zip, clear",1.7
5171,Superfresh Apples 3lb (Mexico Export),15289,1000000,0.2,1200000,32,3,10.66666667,1,10.5,16.375,0,2,0,34.75,14.56353567,888888.8889,14563.53567,6605.976443,1066666.667,17476.2428,7927.171732,"L/LDPE Bag Film - General, clear",1.18
5172,Starr Ranch Apples No Wt (2/3lb),15362,1000000,0.2,1200000,32,3,10.66666667,1,10.5,16.5,0,1.75,0,34.75,14.56353567,888888.8889,14563.53567,6605.976443,1066666.667,17476.2428,7927.171732,"L/LDPE Bag Film - General, clear",1.18
5173,Trader Joe's 2lb Bartlett Organic,15293,160000,0.22,195200,33,4,8.25,1,8,15.75,0,2,0,33.5,10.85880531,110000,1737.40885,788.0834847,134200,2119.638797,961.4618513,"L/LDPE Bag Film - General, clear",1.18
